rules,support,confidence,coverage,lift,count
{GARAGE DESIGN} => {KEY FOB},0.00559600130392263,1,0.00559600130392263,49.0826666666667,103
{ELEPHANT} => {BIRTHDAY CARD},0.00684559382809953,1,0.00684559382809953,76.0578512396694,126
{COFFEE MUG DOG + BALL DESIGN} => {COFFEE MUG CAT + BIRD DESIGN},0.00662827338911225,0.853146853146853,0.0077692056937955,86.7570219835413,122
{PINK VINTAGE SPOT BEAKER} => {BLUE VINTAGE SPOT BEAKER},0.00624796262088449,0.871212121212121,0.00717157448658046,97.7776237989653,115
{HERB MARKER CHIVES} => {HERB MARKER THYME},0.00836683690101054,0.927710843373494,0.0090187982179724,91.8034719523254,154
{HERB MARKER CHIVES} => {HERB MARKER MINT},0.00836683690101054,0.927710843373494,0.0090187982179724,89.4002397022646,154
{HERB MARKER CHIVES} => {HERB MARKER PARSLEY},0.00842116701075736,0.933734939759036,0.0090187982179724,91.9054828941434,155
{HERB MARKER CHIVES} => {HERB MARKER BASIL},0.00798652613278279,0.885542168674699,0.0090187982179724,86.6983465778006,147
{HERB MARKER CHIVES} => {HERB MARKER ROSEMARY},0.00836683690101054,0.927710843373494,0.0090187982179724,89.8707672796449,154
{COAL BLACK} => {FEATHER PEN},0.00597631207215039,1,0.00597631207215039,77.0125523012552,110
{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE GREEN},0.010974682168858,0.901785714285714,0.0121699445832881,61.4750661375661,202
{REGENCY TEA PLATE PINK} => {REGENCY TEA PLATE ROSES},0.0107030316201239,0.879464285714286,0.0121699445832881,49.3518891550523,197
{RETRO SPOT} => {BIRTHDAY CARD},0.00684559382809953,1,0.00684559382809953,76.0578512396694,126
{LIGHT PINK} => {FEATHER PEN},0.00570466152341628,1,0.00570466152341628,77.0125523012552,105
{POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE BEDROOM},0.00782353580354232,0.85207100591716,0.00918178854721287,49.6304396674406,144
{POPPY'S PLAYHOUSE BATHROOM} => {POPPY'S PLAYHOUSE KITCHEN},0.00820384657177007,0.893491124260355,0.00918178854721287,47.5306289975032,151
{GARAGE KEY FOB} => {KEY FOB},0.00570466152341628,0.91304347826087,0.00624796262088449,44.8146086956522,105
{SET 3 RETROSPOT TEA} => {COFFEE},0.013093556448984,1,0.013093556448984,57.6990595611285,241
{SUGAR} => {COFFEE},0.013093556448984,1,0.013093556448984,57.6990595611285,241
{FRONT  DOOR} => {KEY FOB},0.00874714766923829,1,0.00874714766923829,49.0826666666667,161
{HOT PINK} => {FEATHER PEN},0.008529827230251,1,0.008529827230251,77.0125523012552,157
{AIRLINE LOUNGE} => {METAL SIGN},0.00809518635227643,1,0.00809518635227643,88.066985645933,149
{POPPY'S PLAYHOUSE LIVINGROOM} => {POPPY'S PLAYHOUSE KITCHEN},0.0116809735955667,0.853174603174603,0.0136911876561991,45.3859299018259,215
{BACK DOOR} => {KEY FOB},0.0127132456807563,1,0.0127132456807563,49.0826666666667,234
{SHED} => {KEY FOB},0.0143974790829077,1,0.0143974790829077,49.0826666666667,265
{DOLLY GIRL CHILDRENS CUP,SPACEBOY CHILDRENS BOWL} => {DOLLY GIRL CHILDRENS BOWL},0.00521569053569488,0.96969696969697,0.00537868086493535,126.583279604556,96
{REGENCY MILK JUG PINK,REGENCY TEA PLATE PINK} => {REGENCY SUGAR BOWL GREEN},0.0052700206454417,0.915094339622642,0.0057589916331631,62.8478597578147,97
{REGENCY TEA PLATE PINK,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00521569053569488,0.888888888888889,0.00586765185265674,61.0480928689884,96
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {PINK REGENCY TEACUP AND SAUCER},0.00581332174290992,0.899159663865546,0.00646528305987178,29.7660661386857,107
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.00592198196240356,0.865079365079365,0.00684559382809953,20.3354416266294,109
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.0057589916331631,0.890756302521008,0.00646528305987178,20.9390300181375,106
{REGENCY MILK JUG PINK,REGENCY TEA PLATE GREEN} => {REGENCY SUGAR BOWL GREEN},0.00586765185265674,0.955752212389381,0.00613930240139085,65.640206049399,108
{REGENCY MILK JUG PINK,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00896446810822558,0.859375,0.0104313810713898,59.0211054104478,165
{REGENCY MILK JUG PINK,REGENCY TEA PLATE ROSES} => {REGENCY SUGAR BOWL GREEN},0.00657394327936542,0.896296296296296,0.00733456481582093,61.55682697623,121
{REGENCY MILK JUG PINK,REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES},0.00554167119417581,0.902654867256637,0.00613930240139085,50.6532484351392,102
{REGENCY MILK JUG PINK,REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES},0.00624796262088449,0.851851851851852,0.00733456481582093,44.2914835739695,115
{GREEN REGENCY TEACUP AND SAUCER,REGENCY MILK JUG PINK} => {ROSES REGENCY TEACUP AND SAUCER},0.00521569053569488,0.864864864864865,0.00603064218189721,20.3303993648821,96
{REGENCY TEA PLATE GREEN,REGENCY TEAPOT ROSES} => {REGENCY SUGAR BOWL GREEN},0.00592198196240356,0.879032258064516,0.00673693360860589,60.371148290804,109
{REGENCY SUGAR BOWL GREEN,REGENCY TEA PLATE GREEN} => {REGENCY TEA PLATE ROSES},0.00646528305987178,0.894736842105263,0.00722590459632728,50.2089216944801,119
{REGENCY SUGAR BOWL GREEN,REGENCY TEA PLATE ROSES} => {REGENCY TEAPOT ROSES},0.00684559382809953,0.851351351351351,0.00804085624252961,44.2654603756299,126
{PINK REGENCY TEACUP AND SAUCER,REGENCY SUGAR BOWL GREEN} => {GREEN REGENCY TEACUP AND SAUCER},0.00532435075518853,0.890909090909091,0.00597631207215039,23.730930140771,98
{PINK REGENCY TEACUP AND SAUCER,REGENCY SUGAR BOWL GREEN} => {ROSES REGENCY TEACUP AND SAUCER},0.00548734108442899,0.918181818181818,0.00597631207215039,21.583722280274,101
{GREEN REGENCY TEACUP AND SAUCER,REGENCY SUGAR BOWL GREEN} => {ROSES REGENCY TEACUP AND SAUCER},0.00597631207215039,0.894308943089431,0.00668260349885907,21.0225420261865,110
{SET/10 BLUE POLKADOT PARTY CANDLES,SET/10 RED POLKADOT PARTY CANDLES} => {SET/10 PINK POLKADOT PARTY CANDLES},0.00657394327936542,0.864285714285714,0.00760621536455504,52.3290883458647,121
{FRONT  DOOR,SHED} => {BACK DOOR},0.00537868086493535,0.876106194690266,0.00613930240139085,68.9128658951668,99
{SET/20 RED RETROSPOT PAPER NAPKINS,SET/6 RED SPOTTY PAPER CUPS} => {SET/6 RED SPOTTY PAPER PLATES},0.00961642942518744,0.921875,0.0104313810713898,52.2093269230769,177
{KITCHEN METAL SIGN,TOILET METAL SIGN} => {BATHROOM METAL SIGN},0.00728023470607411,0.887417218543046,0.00820384657177007,38.9828193902227,134
{REGENCY TEA PLATE GREEN,REGENCY TEAPOT ROSES} => {REGENCY TEA PLATE ROSES},0.00619363251113767,0.919354838709677,0.00673693360860589,51.5903815892998,114
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE ROSES} => {REGENCY TEA PLATE GREEN},0.00695425404759318,0.920863309352518,0.00755188525480821,62.7755928590461,128
{REGENCY TEA PLATE GREEN,ROSES REGENCY TEACUP AND SAUCER} => {REGENCY TEA PLATE ROSES},0.00771487558404868,0.940397350993378,0.00820384657177007,52.7712001292198,142
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE GREEN} => {GREEN REGENCY TEACUP AND SAUCER},0.00619363251113767,0.919354838709677,0.00673693360860589,24.4886326502031,114
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE GREEN} => {ROSES REGENCY TEACUP AND SAUCER},0.00597631207215039,0.887096774193548,0.00673693360860589,20.8530053969431,110
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEAPOT ROSES} => {GREEN REGENCY TEACUP AND SAUCER},0.00635662284037814,0.893129770992366,0.00711724437683364,23.790081859458,117
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEAPOT ROSES} => {ROSES REGENCY TEACUP AND SAUCER},0.0065196131696186,0.916030534351145,0.00711724437683364,21.5331519990641,120
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEAPOT ROSES} => {ROSES REGENCY TEACUP AND SAUCER},0.00700858415734,0.877551020408163,0.00798652613278279,20.6286131310762,129
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE ROSES} => {GREEN REGENCY TEACUP AND SAUCER},0.0057589916331631,0.854838709677419,0.00673693360860589,22.7701321133467,106
{PINK REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE ROSES} => {ROSES REGENCY TEACUP AND SAUCER},0.00624796262088449,0.92741935483871,0.00673693360860589,21.8008692786223,115
{GREEN REGENCY TEACUP AND SAUCER,REGENCY TEA PLATE ROSES} => {ROSES REGENCY TEACUP AND SAUCER},0.00700858415734,0.928057553956835,0.00755188525480821,21.8158714407784,129
{CANDLEHOLDER PINK HANGING HEART,RED HANGING HEART T-LIGHT HOLDER} => {WHITE HANGING HEART T-LIGHT HOLDER},0.00728023470607411,0.858974358974359,0.00847549712050418,8.02145208081281,134
{WOODEN HEART CHRISTMAS SCANDINAVIAN,WOODEN TREE CHRISTMAS SCANDINAVIAN} => {WOODEN STAR CHRISTMAS SCANDINAVIAN},0.00988807997392155,0.91,0.0108660219493643,38.6823556581986,182
{JUMBO BAG PEARS,JUMBO BAG STRAWBERRY} => {JUMBO BAG APPLES},0.00537868086493535,0.860869565217391,0.00624796262088449,22.0684752331355,99
{PINK REGENCY TEACUP AND SAUCER,ROSES REGENCY TEACUP AND SAUCER} => {GREEN REGENCY TEACUP AND SAUCER},0.0211887428012605,0.894495412844037,0.0236879278496143,23.8264581314144,390
{PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {GREEN REGENCY TEACUP AND SAUCER},0.0147234597413887,0.877022653721683,0.0167880039117679,23.3610404694664,271
{PINK REGENCY TEACUP AND SAUCER,REGENCY CAKESTAND 3 TIER} => {ROSES REGENCY TEACUP AND SAUCER},0.0143974790829077,0.857605177993528,0.0167880039117679,20.1597457294366,265
{BLUE STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,WHITE SPOT RED CERAMIC DRAWER KNOB} => {BLUE SPOT CERAMIC DRAWER KNOB},0.00510703031620124,0.862385321100917,0.00592198196240356,54.9240976476937,94
{BLUE STRIPE CERAMIC DRAWER KNOB,RED SPOT CERAMIC DRAWER KNOB,WHITE SPOT RED CERAMIC DRAWER KNOB} => {RED STRIPE CERAMIC DRAWER KNOB},0.00521569053569488,0.880733944954128,0.00592198196240356,48.6810480204976,96
{ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE IVORY} => {ALARM CLOCK BAKELIKE RED},0.00532435075518853,0.859649122807018,0.00619363251113767,18.0418492068255,98
{ALARM CLOCK BAKELIKE CHOCOLATE,ALARM CLOCK BAKELIKE GREEN,ALARM CLOCK BAKELIKE PINK} => {ALARM CLOCK BAKELIKE RED},0.00597631207215039,0.873015873015873,0.00684559382809953,18.3223833052795,110
{JUMBO BAG PEARS,JUMBO BAG PINK POLKADOT,JUMBO BAG RED RETROSPOT} => {JUMBO BAG APPLES},0.00510703031620124,0.878504672897196,0.00581332174290992,22.5205529378075,94
{CHARLOTTE BAG PINK POLKADOT,STRAWBERRY CHARLOTTE BAG,WOODLAND CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG},0.00521569053569488,0.880733944954128,0.00592198196240356,21.9361150078832,96
{CHARLOTTE BAG PINK POLKADOT,CHARLOTTE BAG SUKI DESIGN,STRAWBERRY CHARLOTTE BAG} => {RED RETROSPOT CHARLOTTE BAG},0.00592198196240356,0.858267716535433,0.00689992393784635,21.3765569560909,109
{JUMBO BAG PINK POLKADOT,JUMBO BAG STRAWBERRY,JUMBO STORAGE BAG SUKI} => {JUMBO BAG RED RETROSPOT},0.00624796262088449,0.858208955223881,0.00728023470607411,9.87262126865672,115
{JUMBO BAG PINK POLKADOT,JUMBO SHOPPER VINTAGE RED PAISLEY,JUMBO STORAGE BAG SUKI} => {JUMBO BAG RED RETROSPOT},0.00624796262088449,0.858208955223881,0.00728023470607411,9.87262126865672,115
{LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND} => {LUNCH BAG RED RETROSPOT},0.00516136042594806,0.871559633027523,0.00592198196240356,12.4549119607955,95
{LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG WOODLAND} => {LUNCH BAG RED RETROSPOT},0.00537868086493535,0.883928571428571,0.00608497229164403,12.6316687000887,99
{LUNCH BAG  BLACK SKULL.,LUNCH BAG DOLLY GIRL DESIGN,LUNCH BAG RED RETROSPOT,LUNCH BAG WOODLAND} => {LUNCH BAG SPACEBOY DESIGN},0.0052700206454417,0.873873873873874,0.00603064218189721,16.2798810956706,97
{LUNCH BAG APPLE DESIGN,LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND} => {LUNCH BAG RED RETROSPOT},0.00505270020645442,0.869158878504673,0.00581332174290992,12.4206042839728,93
{LUNCH BAG CARS BLUE,LUNCH BAG PINK POLKADOT,LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND} => {LUNCH BAG RED RETROSPOT},0.00586765185265674,0.892561983471074,0.00657394327936542,12.7550433755967,108
{LUNCH BAG PINK POLKADOT,LUNCH BAG SPACEBOY DESIGN,LUNCH BAG SUKI DESIGN,LUNCH BAG WOODLAND} => {LUNCH BAG RED RETROSPOT},0.00532435075518853,0.867256637168142,0.00613930240139085,12.393420546364,98
